"","Layer.1","Layer.2","Layer.3","Layer.4","MSE","User.Time","CPU.Time","Reutilized"
"4772",18,16,16,15,0.16319077337938,0.0499999999999972,0,0
"4773",18,25,21,22,0.163190887185195,0.0599999999999952,0,0
"6297",19,22,21,19,0.163192480159893,0.0600000000000023,0,0
"9095",21,22,18,17,0.163195466458022,0.0400000000000063,0,0
"6298",19,15,16,25,0.163195937333521,0.0300000000000011,0,0
"4774",18,23,25,16,0.163196161498006,0.0799999999999983,0,0
"3336",17,16,24,19,0.163196893682342,0.0599999999999987,0,0
"9096",21,15,16,24,0.163198340069873,0.0700000000000074,0,0
"12038",23,24,20,21,0.163201311371017,0.0699999999999932,0,0
"4775",18,21,20,NA,0.163202803417911,0.0500000000000003,0,0
"1713",16,21,18,18,0.163206500725581,0.0400000000000027,0,0
"14852",25,20,15,17,0.163206506405055,0.0600000000000023,0,0
"7669",20,22,22,21,0.163209261607126,0.0699999999999932,0,0
"6299",19,25,22,17,0.163209966034232,0.0800000000000054,0,0
"3337",17,21,24,25,0.163209967315828,0.0700000000000003,0,0
"389",15,24,15,20,0.163211375031056,0.0500000000000007,0,0
"6300",19,24,22,23,0.163218302984583,0.0600000000000023,0,0
"3338",17,15,21,20,0.163224265933061,0.0800000000000018,0,0
"1714",16,19,15,23,0.163226369676686,0.0399999999999991,0,0
"13428",24,25,15,24,0.163229562864547,0.0799999999999983,0,0
"6301",19,23,15,25,0.163231703058267,0.0799999999999983,0,0
"6302",19,17,20,NA,0.163237017469668,0.0500000000000003,0,0
"9097",21,22,22,NA,0.16323757346161,0.0499999999999998,0,0
"9098",21,18,16,20,0.163237783872711,0.0499999999999972,0,0
"390",15,19,16,24,0.16324315513978,0.0599999999999996,0,0
"9099",21,21,18,22,0.16324516712021,0.0799999999999983,0,0
"6303",19,25,25,21,0.163254688139017,0.0800000000000054,0,0
"6304",19,18,25,22,0.163258704863516,0.0799999999999983,0,0
"6305",19,21,21,17,0.163266663586378,0.0700000000000003,0,0
"1715",16,20,18,19,0.163270254736037,0.0500000000000007,0,0
"6306",19,23,24,17,0.163272977268277,0.0600000000000023,0,0
"7670",20,19,15,24,0.163276907995609,0.0499999999999972,0,0
"13429",24,16,21,23,0.163282587536482,0.0499999999999972,0,0
"391",15,22,22,23,0.163284931686212,0.0600000000000005,0,0
"14853",25,22,18,19,0.163285184306358,0.0600000000000023,0,0
"9100",21,25,21,24,0.163286115072189,0.039999999999992,0,0
"1716",16,17,21,21,0.163291860435266,0.0699999999999985,0,0
"9101",21,16,22,19,0.163293166288798,0.0599999999999881,0,0
"9102",21,22,24,25,0.163294291238172,0.0800000000000125,0,0
"9103",21,20,23,20,0.163301287716249,0.0799999999999983,0,0
"4776",18,22,24,16,0.163308077159714,0.0600000000000023,0,0
"1717",16,20,21,23,0.163316020981038,0.0599999999999987,0,0
"9104",21,22,16,19,0.163317386696099,0.0700000000000074,0,0
"392",15,22,21,24,0.163318436413541,0.0600000000000005,0,0
