"Layer 1","Layer 2","Layer 3","Layer 4","MSE","User Time","CPU Time"
67,71,72,70,35.6088371726413,4.14,0
67,71,72,71,32.6709910177112,4.14,0
67,71,72,72,34.5834496190809,4.2,0
67,71,72,73,34.02929833864,4,0
67,71,73,67,34.4856371114238,3.84,0
67,71,73,68,39.7997732053685,3.89,0.02
67,71,73,69,37.086434141716,3.94,0
67,71,73,70,40.51966490119,3.89,0
67,71,73,71,36.4786636648946,4.22,0
67,71,73,72,37.0550364262268,4.16,0
67,71,73,73,37.2386610809858,4.14,0.02
67,72,67,67,39.2531422171183,3.8,0
67,72,67,68,42.6341270667295,3.78999999999999,0
67,72,67,69,33.7100779786138,3.58,0
67,72,67,70,35.3426037051175,3.88000000000001,0
67,72,67,71,36.9087463584617,3.83999999999999,0
67,72,67,72,36.1564863406782,3.88,0
67,72,67,73,34.9529445090925,3.72000000000001,0.03
67,72,68,67,33.941227348079,3.67,0
67,72,68,68,38.2889826483471,3.8,0
67,72,68,69,31.8974170535376,3.86,0
67,72,68,70,40.9231239266561,3.89,0
67,72,68,71,39.0430895354289,3.97000000000001,0
67,72,68,72,33.7000273907873,3.69,0
67,72,68,73,37.4987960171711,3.95999999999999,0
67,72,69,67,35.479343479712,3.52,0
67,72,69,68,35.3858635748875,3.89,0.02
67,72,69,69,41.0331053102321,3.65000000000001,0
67,72,69,70,36.2827969025295,3.89,0.00999999999999998
